,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
34323,COVID,State,Kentucky,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2025-05-24 00:00:00.0000000,11.3411,2.7384,1981,0
34324,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 1,2025-06-07 00:00:00.0000000,54.7009,7.2104,371,0
34325,COVID,State,Kentucky,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 5,2025-05-31 00:00:00.0000000,11.3411,2.7384,1981,0
34326,COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 1,2025-06-07 00:00:00.0000000,16.2612,1.0087,17916,0
34327,COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,Yes,June Week 1,2025-06-07 00:00:00.0000000,11.3411,2.7384,1981,0
34328,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 3,2025-06-21 00:00:00.0000000,49.7599,8.5576,284,0
34329,COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,Yes,June Week 2,2025-06-14 00:00:00.0000000,11.3411,2.7384,1981,0
34330,COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 2,2025-06-14 00:00:00.0000000,16.2612,1.0087,17916,0
34331,COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,Yes,June Week 3,2025-06-21 00:00:00.0000000,13.9403,5.7447,1981,0
34332,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 1,2025-05-03 00:00:00.0000000,48.806,6.6194,459,0
34333,COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,Yes,May Week 1,2025-05-03 00:00:00.0000000,11.3411,2.7384,1981,0
34334,COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 3,2025-06-21 00:00:00.0000000,16.2989,1.0115,17916,0
34335,COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,Yes,May Week 4,2025-05-24 00:00:00.0000000,11.3411,2.7384,1981,0
34336,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 2,2025-05-10 00:00:00.0000000,51.9354,6.5593,480,0
34337,COVID,State,Kentucky,Overall,6 months-17 years,Up-to-date,Yes,May Week 5,2025-05-31 00:00:00.0000000,11.3411,2.7384,1981,0
34338,COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 2,2025-05-10 00:00:00.0000000,16.1979,1.0027,17916,0
