,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
0,COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2025-12-13 00:00:00.0000000,,,21,1
1,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,7.3545,13.7019,49,0
2,COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,86.44209999999998,9.0259,38,0
3,COVID,State,Illinois,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,11.5913,9.670000000000002,107,0
4,COVID,State,Wyoming,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2025-12-13 00:00:00.0000000,3.0918,0.9239,1823,0
5,COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2025-12-13 00:00:00.0000000,32.0021,16.6511,49,0
6,COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,43.1754,24.6725,61,0
7,COVID,State,Illinois,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,2025-12-13 00:00:00.0000000,9.7983,1.4596,4044,0
8,COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,14.469,13.6555,61,0
9,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,67.313,24.2745,38,0
10,COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2025-12-13 00:00:00.0000000,12.7232,2.0451,2155,0
11,COVID,State,Indiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,,,22,1
12,COVID,Substate,Illinois-Rest of State,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,58.2407,18.6887,46,0
13,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2025-12-13 00:00:00.0000000,11.0978,15.2364,38,0
